No.,Nama Satuan PAUD,Alamat,Kelurahan,Status
1,AL HIDAYAH,JLN. RAYA SEPANG,SERANG,SWASTA
2,AL-AZIZIYAH,Jl. Ayip Usman Kompleks Bumi Agung I,UNYUR,SWASTA
3,AL-UMMAH,Kesuren-Jl. Pusri RT 02/23,SUMURPECUNG,SWASTA
4,BKB KEMAS IQRO,KOMP.KESAWON BARU TERONDOL RT 03/03,TERONDOL,SWASTA
5,BKB KEMAS LESTARI,TBL BLOK F 14C NO 2,UNYUR,SWASTA
6,BKB KEMAS PAUD MENTARI,Lingkar Selatan Lingk. Sayabulu RT. 01/04,SERANG,SWASTA
7,IQRA,Taman Graha Asri,SERANG,SWASTA
8,KB A-BA-TA,Jl. Kagungan No. 10,Lontarbaru,SWASTA
9,KB AL IKHLAS CICERI PERMAI,NUSANTARAS,CIPARE,SWASTA
10,KB Al-BUNAYYAH,Jl Kesawon Kaligandu Tegal,Serang,SWASTA
11,KB AL-IKHLAS BANTEN GIRANG,JL RAYA PANDEGLANG,CIPARE,SWASTA
12,KB ALIFFA,JLN. 45,SERANG,SWASTA
13,KB AN-NUR,BUMI AGUNG PERMAI I,UNYUR,SWASTA
14,KB ARRASYADIYYAH,JL. RAYA BATEN KM.04,UNYUR,SWASTA
15,KB ASADAH,"JLN.RAYA PANDEGLANG,SEMPU KALI ENDEP 01/06",CIPARE,SWASTA
16,KB AWAL HASIFAH,Link. Cilampang RT. 01/07,Unyur,SWASTA
17,KB AZ-ZAHRAH,Jln. Samaun Bakri No. 3,SERANG,SWASTA
18,KB BUNGA TANJUNG,UDAPATI BLOK B RT 03/11,SERANG,SWASTA
19,KB CITRA ISLAMI,Ciracas Lama RT 002/020,Serang,SWASTA
20,KB INDAH KIRANA,JL GARUDA,CIMUNCANG,SWASTA
21,KB ISLAM CITRA PERTIWI,BUMI AGUNG PERMAI BLOK V1 NO.9,UNYUR,SWASTA
22,KB KEMALA BHAYANGKARI,JLN.AHMAD YANI NO.08,CIPARE,SWASTA
23,KB KOBER AL ATHFAL,JL. HM. MUSLIH CIKULUR,SERANG,SWASTA
24,KB KOBER AL-IZZAH,JL TUBAGUS RAYA,UNYUR,SWASTA
25,KB KOBER AL-MUMIN,JL. NUNUNG BAKRI KEBON SAYUR,KOTABARU,SWASTA
26,KB KOBER AR RAUDHAN,KH. ABDUL HADI/KEBON JAHE,CIPARE,SWASTA
27,KB KOBER BINTANG KECIL,KESAWON BARU NO 2 RT/03/03,TERONDOL,SWASTA
28,KB KOBER NAFILAH,JL.TB.SUWANDI GG.PERINTIS JAYA RT 01/16 LINGKAR SELATAN,SERANG,SWASTA
29,KB KOBER NUN,JLN. SAMUN BAKRI. DAMBA,SERANG,SWASTA
30,KB KOBER NURIS,KEBAHARANRT 03/03 JL. RAYA BANTEN,LOPANG,SWASTA
31,KB KOBER SEROJA,JLN. RAYA PANDEGLANG KP. SEMPU,SERANG,SWASTA
32,KB MUTMAINNAH,Perumahan Tamman Puri Indah B 3 No. 24,Serang,SWASTA
33,KB NURUL KHAIROT,Km. Idris No. 27 Kubang,CIPARE,SWASTA
34,KB NUSA INDAH,WARUNG JAUD TRONDOL,KALIGANDU,SWASTA
35,KB PAUD NURUL HIDAYAH,JL. NYIMAS GAMPARAN BLOK S NO 11/14,SUMURPECUNG,SWASTA
36,KB PELANGI NUSANTARA,"BHAYANGKARA,SUMUR PECUNG",SERANG,SWASTA
37,KB PERMATA RUBY,JALAN ZAWRUD KOMPLEK PERMATA SERANG,SERANG,SWASTA
38,KB SMART,KOMPLEKS BANTEN INDAH PERMAI BLOK G 9 NO 6.,UNYUR,SWASTA
39,KB TUNAS HARAPAN,Jln. mayor Safei,SERANG,SWASTA
40,KB UMI KULSUM,EMPAT LIMA,SERANG,SWASTA
41,KB WIGUNA,Jl. Lingkar Selatan Kp. Sayabulu RT 04/07,Serang,SWASTA
42,"KOBER ""AL-FAATHIR",Link. Hegar Alam RW.22 Kel. Sumur Pecung Serang,Sumurpecung,SWASTA
43,KOBER AISIYAH 1,JL.HS JAYADININGRAT NO 30,LONTARBARU,SWASTA
44,KOBER AL MAHIR,Link. Kubang Apu Inpres RT. 05/02 Kel. Terondol,Terondol,SWASTA
45,KOBER AL ZAHIRA,Jl. Ciracas No.32 Kaujon Baru Serang,Serang,SWASTA
46,KOBER AL-VATNOOR,KOMPLEK TBL BLOK G.15 NO. 02 UNYUR,Unyur,SWASTA
47,KOBER ATS TSAUROH,Jalan Veteran No. 31 A Cimuncang Serang,Cimuncang,SWASTA
48,KOBER BAMBINS,Jl.TB Suwandi No.2 Lingkar Selatan Ciracas,Serang,SWASTA
49,KOBER BANI YAHYA,Lingk. Sambi Gerowong RT. 001/006 Kel. Sukawana Kec. Serang,Sukawana,SWASTA
50,KOBER BILQIS,Jl. KH. Abdul Latif Gg. Masjid I RT.01/011 Cimuncang,Cimuncang,SWASTA
